orderNumber,customerIdentifier,customerName,status,orderCreateTimestamp,orderActiveTimestamp,orderSubmitTimestamp,orderCompleteTimestamp,orderType,productType,area,longitude,latitude,spacecraft,archiveTasking,publicPrivate,multistrip,responsiveness,completeDate,orderDescription,catId,sqkm,charge,chargeS,orderNotes,country,timeToComplete,seconds
50345067010,100436,DAF75,Complete,2025-06-24 02:07:44,2025-06-24 02:08:42.405,2025-06-24 02:07:44,2025-06-24 10:26:48.748,AO,OR2A,9.012,106.28075723,2.6134997200000005,WV02,ARCHIVE,Public,N,Standard,2025-06-24,View-Ready (Standard) OR2A,10300100CB69A900,9.01,9.01,00:00:00.019,N,Indonesia,498.1057166666667,0.019
50345058010,100436,DAF75,Complete,2025-06-24 01:25:01,2025-06-24 01:25:24.292,2025-06-24 01:25:01,2025-06-24 01:31:05.551,AO,OR2A,9.18,49.24237724499999,34.36948142999999,LG03,ARCHIVE,Public,N,Fresh,2025-06-24,View-Ready (Standard) OR2A,B13000110089C400,9.18,9.18,00:00:00.025,N,Iran (Islamic Republic of),5.6876500000000005,0.025
50344881010,100436,DAF75,Complete,2025-06-23 09:42:26,2025-06-23 09:43:14.179,2025-06-23 09:42:26,2025-06-23 09:47:09.936,AO,OR2A,9.18,49.24237724499999,34.36948142999999,LG04,ARCHIVE,Public,N,Fresh,2025-06-23,View-Ready (Standard) OR2A,B140001101218B00,9.18,9.18,00:00:00.025,N,Iran (Islamic Republic of),3.9292833333333332,0.025
50344879010,100436,DAF75,Complete,2025-06-23 09:39:22,2025-06-23 09:39:46.347,2025-06-23 09:39:22,2025-06-26 04:02:45.330,TO,OR2A,47.995,110.0542115,1.2666165,LG02,TASKING,Public,N,SelectPlus,2025-06-26,View-Ready (Standard) OR2A,B120001101EDBB00,100.0,4360.0,00:00:11.731,N,Malaysia,3982.9830500000003,11.731
50344343010,100436,DAF75,Complete,2025-06-20 07:24:39,2025-06-20 07:25:56.659,2025-06-20 07:24:39,2025-06-20 15:58:40.475,AO,OR2A,14.284,107.37464813,-6.002459474999999,WV02,ARCHIVE,Public,N,Standard,2025-06-20,View-Ready (Standard) OR2A,10300100AD9C0500,14.28,14.28,00:00:00.031,N,Indonesia,512.7302666666667,0.031
50344340010,100436,DAF75,Complete,2025-06-20 07:19:44,2025-06-20 07:20:09.996,2025-06-20 07:19:44,2025-06-20 07:27:56.002,AO,OR2A,14.284,107.37464813,-6.002459474999999,LG02,ARCHIVE,Public,N,Fresh,2025-06-20,View-Ready (Standard) OR2A,B120001101941800,14.28,14.28,00:00:00.038,N,Indonesia,7.766766666666666,0.038
50342316010,100436,DAF75,Complete,2025-06-13 02:20:16,2025-06-13 02:25:37.933,2025-06-13 02:20:16,2025-06-13 02:32:23.268,AO,OR2A,5.467,125.082586355,-9.45232252,WV02,ARCHIVE,Public,N,Standard,2025-06-13,View-Ready (Standard) OR2A,103001010B369200,5.47,5.47,00:00:00.012,N,Indonesia,6.755583333333333,0.012
50342055010,100436,DAF75,Complete,2025-06-12 09:16:33,2025-06-12 09:17:20.255,2025-06-12 09:16:33,2025-06-12 09:24:21.858,AO,OR2A,3.397,140.99983637000005,-2.6089085999999995,WV02,ARCHIVE,Public,N,Fresh,2025-06-12,View-Ready (Standard) OR2A,1030010114745A00,3.4,3.4,00:00:00.007,N,Indonesia,7.026716666666667,0.007
50341992010,100436,DAF75,Complete,2025-06-12 04:02:18,2025-06-12 04:12:46.201,2025-06-12 04:02:18,2025-06-12 04:19:19.055,AO,OR2A,1.006,116.916004935,-1.170656015,WV02,ARCHIVE,Public,N,Standard,2025-06-12,View-Ready (Standard) OR2A,10300100E53A5900,1.01,1.01,00:00:00.002,N,Indonesia,6.5475666666666665,0.002
50341973010,100436,DAF75,Complete,2025-06-12 03:30:05,2025-06-12 03:32:28.486,2025-06-12 03:30:05,2025-06-12 03:39:59.229,AO,OR2A,1.003,116.914311515,-1.1705616449999998,LG03,ARCHIVE,Public,N,Fresh,2025-06-12,View-Ready (Standard) OR2A,B130001100BB6300,1.0,1.0,00:00:00.003,N,Indonesia,7.512383333333333,0.003
50341389010,100436,DAF75,Complete,2025-06-10 10:02:22,2025-06-10 10:02:46.627,2025-06-10 10:02:22,2025-06-10 10:12:30.395,AO,OR2A,263.65,96.79476744923028,-12.139168840886692,GE01,ARCHIVE,Public,N,Fresh,2025-06-10,View-Ready (Standard) OR2A,10500100424BDD00,263.65,263.65,00:00:00.764,N,Cocos (Keeling) Islands,9.729466666666667,0.764
50341387010,100436,DAF75,Complete,2025-06-10 10:01:16,2025-06-10 10:02:09.544,2025-06-10 10:01:16,2025-06-10 10:19:52.627,AO,OR2A,316.48,96.93099187323516,-12.139206547765628,GE01,ARCHIVE,Public,N,Fresh,2025-06-10,View-Ready (Standard) OR2A,10500100424BDE00,316.48,316.48,00:00:00.917,N,Cocos (Keeling) Islands,17.71805,0.917
50341384010,100436,DAF75,Complete,2025-06-10 09:52:58,2025-06-10 10:02:09.542,2025-06-10 09:52:58,2025-06-10 10:13:31.450,AO,OR2A,127.188,114.07583349055294,10.924894128524755,WV03,ARCHIVE,Public,N,Fresh,2025-06-10,View-Ready (Standard) OR2A,10400100A624BA00,127.19,127.19,00:00:00.246,N,Spratly Islands,11.365133333333334,0.246
50341382010,100436,DAF75,Complete,2025-06-10 09:49:49,2025-06-10 10:03:01.281,2025-06-10 09:49:49,2025-06-10 10:12:10.811,AO,OR2A,144.418,115.52278812518492,9.905081078438206,LG02,ARCHIVE,Public,N,Fresh,2025-06-10,View-Ready (Standard) OR2A,B12000110175E500,144.42,144.42,00:00:00.389,N,Spratly Islands,9.158833333333332,0.389
50341378010,100436,DAF75,Complete,2025-06-10 09:45:18,2025-06-10 10:02:21.949,2025-06-10 09:45:18,2025-06-10 10:10:01.375,AO,OR2A,51.089,112.891920385,9.55093091,WV02,ARCHIVE,Public,N,Fresh,2025-06-10,View-Ready (Standard) OR2A,1030010113C13F00,51.09,51.09,00:00:00.110,N,Spratly Islands,7.6571,0.11
50341376010,100436,DAF75,Complete,2025-06-10 09:33:35,2025-06-10 10:02:27.930,2025-06-10 09:33:35,2025-06-10 10:09:35.157,AO,OR2A,9.68,114.365032145,10.37675368,WV02,ARCHIVE,Public,N,Fresh,2025-06-10,View-Ready (Standard) OR2A,10300101123B6F00,9.68,9.68,00:00:00.021,N,Spratly Islands,7.12045,0.021
50336682010,100436,DAF75,Complete,2025-05-26 07:46:56,2025-05-26 07:47:24.211,2025-05-26 07:46:56,2025-05-26 07:55:12.619,AO,OR2A,38.981,113.29524512999998,-1.99169292,WV02,ARCHIVE,Public,N,Standard,2025-05-26,View-Ready (Standard) OR2A,10300100EFC31A00,38.98,38.98,00:00:00.084,N,Indonesia,7.8068,0.084
50336679010,100436,DAF75,Complete,2025-05-26 07:20:02,2025-05-26 07:20:35.774,2025-05-26 07:20:02,2025-05-26 12:38:55.592,AO,OR2A,35.337,113.0757781,-1.509179175,WV02,ARCHIVE,Public,N,Standard,2025-05-26,View-Ready (Standard) OR2A,103001009D066500,35.34,35.34,00:00:00.076,N,Indonesia,318.33029999999997,0.076
50336677010,100436,DAF75,Complete,2025-05-26 07:16:59,2025-05-26 07:20:13.842,2025-05-26 07:16:59,2025-05-26 07:23:32.912,AO,OR2A,56.294,113.0733675351516,-1.509011623373394,WV02,ARCHIVE,Public,N,Standard,2025-05-26,View-Ready (Standard) OR2A,10300100F75BC000,56.29,56.29,00:00:00.121,N,Indonesia,3.317833333333333,0.121
50334368010,100436,DAF75,Complete,2025-05-20 08:02:53,2025-05-20 08:03:17.617,2025-05-20 08:02:53,2025-05-20 08:06:43.268,AO,OR2A,1.493,136.84621005,-4.49564557,WV03,ARCHIVE,Public,N,Fresh,2025-05-20,View-Ready (Standard) OR2A,10400100A41A8100,1.49,1.49,00:00:00.003,N,Indonesia,3.427516666666667,0.003
50334365010,100436,DAF75,Complete,2025-05-20 07:29:18,2025-05-20 07:34:31.507,2025-05-20 07:29:18,2025-05-20 07:40:46.735,AO,OR2A,1.493,136.84621005,-4.49564557,WV03,ARCHIVE,Public,N,Fresh,2025-05-20,View-Ready (Standard) OR2A,10400100A5694000,1.49,1.49,00:00:00.003,N,Indonesia,6.2538,0.003
50334332010,100436,DAF75,Complete,2025-05-20 03:22:59,2025-05-20 03:25:09.957,2025-05-20 03:22:59,2025-05-20 03:28:07.436,AO,OR2A,2.088,116.91476642799978,-1.1700151255525433,LG03,ARCHIVE,Public,N,Fresh,2025-05-20,View-Ready (Standard) OR2A,B130001100BB6300,2.09,2.09,00:00:00.006,N,Indonesia,2.9579833333333334,0.006
50334319010,100436,DAF75,Complete,2025-05-20 02:01:15,2025-05-20 02:05:09.458,2025-05-20 02:01:15,2025-05-20 02:09:53.161,AO,OR2A,2.362,116.91519725049972,-1.1698624371567143,LG03,ARCHIVE,Public,N,Fresh,2025-05-20,View-Ready (Standard) OR2A,B130001100BB6300,2.36,2.36,00:00:00.006,N,Indonesia,4.7283833333333325,0.006
50333947010,100436,DAF75,Complete,2025-05-19 03:34:41,2025-05-19 03:35:20.925,2025-05-19 03:34:41,2025-05-19 03:41:49.422,AO,OR2A,2.308,116.91497233277175,-1.1692888021756631,LG03,ARCHIVE,Public,N,Fresh,2025-05-19,View-Ready (Standard) OR2A,B130001100BB6300,2.31,2.31,00:00:00.006,N,Indonesia,6.474950000000001,0.006
50333944010,100436,DAF75,Complete,2025-05-19 03:26:26,2025-05-19 03:30:12.525,2025-05-19 03:26:26,2025-05-19 08:48:54.149,AO,OR2A,6.41,111.87735616,1.029274085,WV02,ARCHIVE,Public,N,Standard,2025-05-19,View-Ready (Standard) OR2A,103001009456B900,6.41,6.41,00:00:00.014,N,Indonesia,318.69373333333334,0.014
50333384010,100436,DAF75,Complete,2025-05-16 04:14:47,2025-05-16 04:20:08.106,2025-05-16 04:14:47,2025-05-16 12:25:36.153,AO,OR2A,12.11,125.085276405,-9.452318404999998,GE01,ARCHIVE,Public,N,Standard,2025-05-16,View-Ready (Standard) OR2A,105001001E8EB100,12.11,12.11,00:00:00.035,N,Indonesia,485.46745,0.035
50333382010,100436,DAF75,Complete,2025-05-16 04:11:18,2025-05-16 04:12:09.028,2025-05-16 04:11:18,2025-05-16 09:43:08.675,AO,OR2A,6.038,124.951443515,-8.960896685000002,WV03,ARCHIVE,Public,N,Standard,2025-05-16,View-Ready (Standard) OR2A,104001001F040B00,6.04,6.04,00:00:00.012,N,Timor-Leste,330.9941166666667,0.012
50333380010,100436,DAF75,Complete,2025-05-16 04:06:00,2025-05-16 04:06:39.142,2025-05-16 04:06:00,2025-05-16 09:26:18.651,AO,OR2A,12.11,125.085276405,-9.452318404999998,WV03,ARCHIVE,Public,N,Standard,2025-05-16,View-Ready (Standard) OR2A,104001000C7FEC00,12.11,12.11,00:00:00.023,N,Indonesia,319.6584833333333,0.023
50333375010,100436,DAF75,Complete,2025-05-16 03:06:59,2025-05-16 03:07:21.936,2025-05-16 03:06:59,2025-05-16 03:27:39.839,AO,OR2A,4.131,124.47737806000002,-9.177978095,LG01,ARCHIVE,Public,N,Fresh,2025-05-16,View-Ready (Standard) OR2A,B1100011017D1D00,4.13,4.13,00:00:00.011,N,Indonesia,20.298383333333334,0.011
50333373010,100436,DAF75,Complete,2025-05-16 03:06:36,2025-05-16 03:07:20.106,2025-05-16 03:06:36,2025-05-16 03:11:25.855,AO,OR2A,4.131,124.47737806000002,-9.177978095,LG01,ARCHIVE,Public,N,Fresh,2025-05-16,View-Ready (Standard) OR2A,B1100011017D1D00,4.13,4.13,00:00:00.011,N,Indonesia,4.095816666666667,0.011
50332546010,100436,DAF75,Complete,2025-05-14 05:09:38,2025-05-14 05:09:58.896,2025-05-14 05:09:38,2025-05-14 10:37:50.504,AO,OR2A,6.41,111.87735616,1.029274085,WV02,ARCHIVE,Public,N,Standard,2025-05-14,View-Ready (Standard) OR2A,1030010005C30B00,6.41,6.41,00:00:00.014,N,Indonesia,327.86013333333335,0.014
50332544010,100436,DAF75,Complete,2025-05-14 04:38:49,2025-05-14 04:40:06.915,2025-05-14 04:38:49,2025-05-14 10:06:34.048,AO,OR2A,1.806,109.67634159,1.6055071600000002,WV02,ARCHIVE,Public,N,Standard,2025-05-14,View-Ready (Standard) OR2A,10300100547C2400,1.81,1.81,00:00:00.004,N,Indonesia,326.4522166666667,0.004
50332538010,100436,DAF75,Complete,2025-05-14 03:55:23,2025-05-14 03:55:52.265,2025-05-14 03:55:23,2025-05-14 13:07:05.441,AO,OR2A,8.007,124.38820218,-9.36017992,GE01,ARCHIVE,Public,N,Standard,2025-05-14,View-Ready (Standard) OR2A,###############################################################################################################################################################################################################################################################,8.01,8.01,00:00:00.023,N,Timor-Leste,551.2196,0.023
50332537010,100436,DAF75,Complete,2025-05-14 03:39:45,2025-05-14 03:45:07.044,2025-05-14 03:39:45,2025-05-14 13:19:51.478,AO,OR2A,12.11,125.085276405,-9.452318404999998,GE01,ARCHIVE,Public,N,Standard,2025-05-14,View-Ready (Standard) OR2A,1050410002168B00,12.11,12.11,00:00:00.035,N,Indonesia,574.7405666666667,0.035
50332533010,100436,DAF75,Complete,2025-05-14 03:30:05,2025-05-14 03:30:27.759,2025-05-14 03:30:05,2025-05-14 13:20:50.229,AO,OR2A,4.131,124.47737806000002,-9.177978095,GE01,ARCHIVE,Public,N,Standard,2025-05-14,View-Ready (Standard) OR2A,105041000210C400,4.13,4.13,00:00:00.012,N,Indonesia,590.3745,0.012
50332517010,100436,DAF75,Complete,2025-05-14 03:28:08,2025-05-14 03:28:33.559,2025-05-14 03:28:08,2025-05-14 03:32:25.530,AO,OR2A,30.69,112.39062377499998,34.73954687,WV02,ARCHIVE,Public,N,Fresh,2025-05-14,View-Ready (Standard) OR2A,1030010111CE8A00,30.69,30.69,00:00:00.066,N,China,3.8661833333333333,0.066
50332516010,100436,DAF75,Complete,2025-05-14 03:19:18,2025-05-14 03:19:55.629,2025-05-14 03:19:18,2025-05-14 03:28:07.426,AO,OR2A,77.513,121.33499653,31.19804039,WV02,ARCHIVE,Public,N,Fresh,2025-05-14,View-Ready (Standard) OR2A,1030010112C8D700,77.51,77.51,00:00:00.167,N,China,8.196616666666667,0.167
