Archive/Tasking,Public/Private,Multistrip,Responsiveness,Order Number,Complete Date,Order Description,CAT ID,Sqkm,Charge ($),Charge (s),Order Notes
ARCHIVE,Public,N,Fresh,050275623010,1/2/2025,View-Ready (Standard) 2A,103001010AA7A400,521.440,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275624010,1/2/2025,View-Ready (Standard) OR2A,103001010AA7A400,53.340,$53.34,00:00:00.115,N
ARCHIVE,Public,N,Fresh,050275627010,1/2/2025,View-Ready (Standard) 2A,1030010108178C00,267.150,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275628010,1/2/2025,View-Ready (Standard) OR2A,1030010108178C00,19.780,$19.78,00:00:00.043,N
ARCHIVE,Public,N,Fresh,050275630010,1/2/2025,View-Ready (Standard) 2A,1030010107C14A00,1565.150,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275631010,1/2/2025,View-Ready (Standard) OR2A,1030010107C14A00,9.870,$9.87,00:00:00.021,N
ARCHIVE,Public,N,Fresh,050275656010,1/2/2025,View-Ready (Standard) OR2A,103001010A348200,25.830,$25.83,00:00:00.056,N
ARCHIVE,Public,N,Fresh,050275657010,1/2/2025,View-Ready (Standard) 2A,103001010A348200,782.140,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275658010,1/2/2025,View-Ready (Standard) 2A,10400100A0553B00,151.550,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275659010,1/2/2025,View-Ready (Standard) OR2A,10400100A0553B00,13.640,$13.64,00:00:00.026,N
ARCHIVE,Public,N,Fresh,050275668010,1/2/2025,View-Ready (Standard) OR2A,104001009F251600,14.630,$14.63,00:00:00.028,N
ARCHIVE,Public,N,Fresh,050275669010,1/2/2025,View-Ready (Standard) 2A,104001009F251600,1195.380,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275884010,1/3/2025,View-Ready (Standard) 2A,105001003FBC0C00,284.790,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275885010,1/3/2025,View-Ready (Standard) OR2A,105001003FBC0C00,34.880,$34.88,00:00:00.101,N
TASKING,Private,N,SelectPlus,050275887010,1/3/2025,View-Ready (Standard) 2A,103001010B965F00,130.890,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275888010,1/3/2025,View-Ready (Standard) OR2A,10400100A0514500,17.690,$17.69,00:00:00.034,N
ARCHIVE,Public,N,Fresh,050275889010,1/3/2025,View-Ready (Standard) 2A,10400100A0514500,238.220,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275890010,1/3/2025,View-Ready (Standard) OR2A,10400100A0514500,17.690,$17.69,00:00:00.034,N
ARCHIVE,Public,N,Fresh,050275891010,1/3/2025,View-Ready (Standard) 2A,10400100A0514500,238.220,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275892010,1/3/2025,View-Ready (Standard) OR2A,B120001100C76800,11.300,$11.30,00:00:00.030,N
ARCHIVE,Public,N,Fresh,050275893010,1/3/2025,View-Ready (Standard) OR2A,103001010A510700,72.000,$72.00,00:00:00.155,N
ARCHIVE,Public,N,Fresh,050275894010,1/3/2025,View-Ready (Standard) 2A,B120001100C76800,96.700,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275895010,1/3/2025,View-Ready (Standard) 2A,103001010A510700,345.590,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275896010,1/3/2025,View-Ready (Standard) OR2A,1030010108B12A00,20.960,$20.96,00:00:00.045,N
ARCHIVE,Public,N,Fresh,050275897010,1/3/2025,View-Ready (Standard) 2A,1030010108B12A00,291.240,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275898010,1/3/2025,View-Ready (Standard) 2A,105001003FAAB000,563.120,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275899010,1/3/2025,View-Ready (Standard) OR2A,105001003FAAB000,54.630,$54.63,00:00:00.158,N
ARCHIVE,Public,N,Fresh,050275900010,1/3/2025,View-Ready (Standard) OR2A,105001003FB79A00,31.220,$31.22,00:00:00.091,N
ARCHIVE,Public,N,Fresh,050275901010,1/3/2025,View-Ready (Standard) 2A,105001003FB79A00,403.820,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275902010,1/3/2025,View-Ready (Standard) 2A,10300101092F0500,265.980,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275903010,1/3/2025,View-Ready (Standard) OR2A,10300101092F0500,25.300,$25.30,00:00:00.055,N
ARCHIVE,Public,N,Fresh,050275904010,1/3/2025,View-Ready (Standard) 2A,B1100011009F2C00,275.830,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275905010,1/3/2025,View-Ready (Standard) OR2A,B1100011009F2C00,7.960,$7.96,00:00:00.021,N
ARCHIVE,Public,N,Fresh,050275906010,1/3/2025,View-Ready (Standard) 2A,103001010B556600,326.900,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275907010,1/3/2025,View-Ready (Standard) OR2A,103001010B556600,30.030,$30.03,00:00:00.065,N
ARCHIVE,Public,N,Fresh,050275908010,1/3/2025,View-Ready (Standard) 2A,103001010B8BA200,707.350,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275909010,1/3/2025,View-Ready (Standard) OR2A,103001010B8BA200,100.030,$100.03,00:00:00.216,N
ARCHIVE,Public,N,Standard,050275910010,1/3/2025,View-Ready (Standard) 2A,104001009C288800,223.050,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Standard,050275911010,1/3/2025,View-Ready (Standard) OR2A,104001009C288800,38.850,$38.85,00:00:00.075,N
ARCHIVE,Public,N,Fresh,050275912010,1/3/2025,View-Ready (Standard) 2A,103001010872ED00,2535.450,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275913010,1/3/2025,View-Ready (Standard) OR2A,103001010872ED00,112.380,$112.38,00:00:00.243,N
ARCHIVE,Public,N,Fresh,050275914010,1/3/2025,View-Ready (Standard) 2A,104001009F318700,231.670,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275915010,1/3/2025,View-Ready (Standard) OR2A,104001009F318700,49.960,$49.96,00:00:00.097,N
ARCHIVE,Public,N,Fresh,050275920010,1/3/2025,View-Ready (Standard) OR2A,103001010B0A4200,125.220,$125.22,00:00:00.270,N
ARCHIVE,Public,N,Fresh,050275921010,1/3/2025,View-Ready (Standard) 2A,103001010B0A4200,342.610,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275924010,1/3/2025,View-Ready (Standard) OR2A,103001010B55F000,59.920,$59.92,00:00:00.129,N
ARCHIVE,Public,N,Fresh,050275925010,1/3/2025,View-Ready (Standard) 2A,103001010B55F000,334.330,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275926010,1/3/2025,View-Ready (Standard) OR2A,B110001100D7D300,10.850,$10.85,00:00:00.029,N
ARCHIVE,Public,N,Fresh,050275927010,1/3/2025,View-Ready (Standard) 2A,B110001100D7D300,843.080,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Fresh,050275928010,1/3/2025,View-Ready (Standard) OR2A,B1200011008B4000,23.170,$23.17,00:00:00.062,N
ARCHIVE,Public,N,Fresh,050275929010,1/3/2025,View-Ready (Standard) OR2A,B120001100DBE500,43.690,$43.69,00:00:00.118,N
ARCHIVE,Public,N,Fresh,050275930010,1/3/2025,View-Ready (Standard) 2A,B120001100DBE500,186.920,$0.00,00:00:00.000,Streaming. Do not charge.
ARCHIVE,Public,N,Standard,050275931010,1/3/2025,View-Ready (Standard) OR2A,105001003DB03500,105.770,$105.77,00:00:00.307,N
ARCHIVE,Public,N,Fresh,050275932010,1/3/2025,View-Ready (Standard) OR2A,10300101084E9300,9.050,$9.05,00:00:00.020,N
ARCHIVE,Public,N,Fresh,050275935010,1/3/2025,View-Ready (Standard) OR2A,B110001100D9A900,2.220,$2.22,00:00:00.006,N
ARCHIVE,Public,N,Fresh,050275936010,1/3/2025,View-Ready (Standard) 2A,B110001100D9A900,198.760,$0.00,00:00:00.000,Streaming. Do not charge.
